,quadname,hydrodym,densities.submat,density_m,density_cm,sub
400,submat_Vdiff1,active,1,10.78325654,1078325.654,1
401,submat_Vdiff1,active,2,6.930521522,693052.1522,2
402,submat_Vdiff1,active,3,7.284687807,728468.7807,3
403,submat_Vdiff1,active,1,8.822664445,882266.4445,1
404,submat_Vdiff1,active,2,6.683002896,668300.2896,2
405,submat_Vdiff1,active,3,7.726184038,772618.4038,3
406,submat_Vdiff1,oscillating,1,26.46799333,2646799.333,1
407,submat_Vdiff1,oscillating,2,35.64268211,3564268.211,2
408,submat_Vdiff1,oscillating,3,36.31306498,3631306.498,3
409,submat_Vdiff1,oscillating,1,11.76355259,1176355.259,1
410,submat_Vdiff1,oscillating,2,36.88027524,3688027.524,2
411,submat_Vdiff1,oscillating,3,37.3064315,3730643.15,3
412,submat_Vdiff1,oscillating,1,22.54680914,2254680.914,1
413,submat_Vdiff1,oscillating,2,43.56327814,4356327.814,2
414,submat_Vdiff1,oscillating,3,33.00184325,3300184.325,3
415,submat_Vdiff1,oscillating,1,20.58621704,2058621.704,1
416,submat_Vdiff1,oscillating,2,37.37531249,3737531.249,2
417,submat_Vdiff1,oscillating,3,36.09231686,3609231.686,3
418,submat_Vdiff1,oscillating,1,14.70444074,1470444.074,1
419,submat_Vdiff1,oscillating,2,37.37531249,3737531.249,2
420,submat_Vdiff1,oscillating,3,36.86493527,3686493.527,3
